artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
0.143,0.925,0.909,0.767,0.024,0.218,0.165,0.019,0.029,0.005,0.000,0.001,0.177,0.493,0.516,0.443,0.392,0.055,0.074,0.145
0.143,0.989,0.364,0.167,0.115,0.259,0.306,0.106,0.411,0.102,0.224,0.029,0.106,0.575,0.247,0.682,0.082,0.000,0.532,0.032
0.000,0.796,0.000,0.000,0.378,0.109,0.294,0.159,0.251,0.005,0.000,0.586,0.759,0.301,0.312,0.568,0.062,0.000,0.053,0.016
0.000,0.957,0.364,0.300,0.028,0.095,0.111,0.036,0.258,0.045,0.017,0.205,0.390,0.507,0.215,0.295,0.753,0.000,0.298,0.016
0.000,1.000,0.000,0.867,0.010,0.143,0.069,0.010,0.258,0.004,0.034,0.014,0.532,0.699,0.989,0.807,0.186,0.000,0.021,0.048
0.000,1.000,0.455,0.967,0.001,0.054,0.009,0.010,0.276,0.003,0.017,0.098,0.447,0.795,0.925,0.773,0.010,0.000,0.064,0.048
0.000,1.000,0.364,0.833,0.006,0.095,0.026,0.019,0.400,0.008,0.034,0.063,0.404,0.753,0.710,0.818,0.588,0.000,0.074,0.048
0.143,0.860,0.000,0.000,0.324,0.252,0.345,0.177,0.295,1.000,0.017,0.528,0.461,0.329,0.882,0.943,0.082,0.000,0.021,0.355
0.143,1.000,0.091,0.033,0.016,0.061,0.063,0.021,0.320,0.068,0.052,0.076,0.674,0.630,0.613,0.705,0.340,0.000,0.298,0.290
0.000,0.882,1.000,0.133,0.030,0.061,0.400,0.000,0.000,0.366,0.000,0.000,0.560,0.685,0.892,0.693,0.062,0.000,0.266,0.048
0.286,1.000,0.273,0.100,0.010,0.095,0.038,0.006,0.051,0.012,0.086,0.059,0.901,0.370,0.871,0.489,0.113,0.000,0.266,0.065
0.143,0.989,0.455,0.533,0.110,0.184,0.167,0.121,0.440,0.060,0.017,0.036,0.695,0.425,0.387,0.659,0.000,0.000,0.064,0.242
0.000,0.892,0.000,0.000,0.552,0.293,0.543,0.266,0.353,0.003,0.190,0.161,0.404,0.589,0.473,0.705,0.062,0.000,0.096,0.032
0.000,0.978,0.182,0.600,0.110,0.163,0.315,0.159,0.138,0.098,0.000,0.000,0.631,0.521,0.398,0.739,0.216,0.000,0.394,0.065
0.000,0.957,0.818,0.100,0.072,0.177,0.251,0.198,0.658,0.003,0.000,0.000,0.369,0.685,0.290,0.682,0.062,0.000,0.085,0.032
0.143,1.000,0.000,0.733,0.018,0.177,0.118,0.028,0.520,0.010,0.103,0.016,0.518,0.753,0.914,0.841,0.103,0.000,0.096,0.048
0.000,0.796,0.545,0.400,0.122,0.122,0.178,0.146,0.345,0.465,0.000,0.476,0.220,0.863,0.753,0.807,0.340,0.000,0.053,0.065
0.286,0.925,0.273,0.100,0.818,0.163,0.733,0.644,0.389,0.004,0.000,0.027,0.277,0.740,0.344,0.614,0.010,0.000,0.351,0.048
